"theta","BDX14914","BDX14917","BDX14918","BDX14920","BDX14921","BDX14922","BDX14924","BDX14925","BDX14926","BDX15030","BDX15031","BDX15032","BDX15033","BDX15034","BDX15035","BDX15036","BDX15037","BDX15038","BDX15040","BDX15041","BDX15042","BDX15043","BDX15044","BDX15045","BDX15053","BDX15054","BDX15445","BDX15446","BDX15448","BDX15449","BDX15450","BDX15451","BDX15452","BDX15453","BDX15457","BDX15461","BDX15464","BDX15465","BDX15466","BDX15468","BDX15473","BDX15640","BDX15641","BDX15643","BDX15644","BDX15647","BDX15649","BDX15651","BDX15652","BDX15653","BDX15654","BDX15659","BDX15660","BDX15661","BDX15662","BDX15663","BDX15664","BDX15665","BDX15666","BDX15668","BDX15669","BDX15671","BDX15673","BDX15674","BDX15675","BDX15676","BDX15679","BDX15680","BDX16441","BDX16443","BDX16444","BDX16445","BDX16446","BDX16447","BDX16449","BDX16451","BDX16452","BDX16453","BDX17428","BDX17429","BDX17430","BDX17431","BDX17432","BDX17433","BDX17434","BDX17435","BDX22203"
4.2,76.662057892665,40.2579780122287,117.904374160182,35.893684741879,74.3544635852013,90.9582792692509,0,87.2609882200231,83.9126454413854,87.2268899305054,157.180758449129,122.834027939321,144.260491149129,165.875811877062,0,118.889846295824,71.0700115217687,98.3650932524652,0,162.522239405165,66.7088999118369,182.271190624857,27.0738528653146,89.0582136568446,91.6000713989179,146.889235712764,184.60128681419,267.767726340397,112.324620519268,107.645750896867,115.932096202586,10.2758717775778,73.2419940584114,64.907937813352,69.7673688782088,138.750062000418,74.7270733773803,82.0914250199648,88.1220392652322,160.240251755333,26.8011514218797,22.443195803161,0,59.5051843062811,37.3465931675037,94.2797040198475,62.1761473909301,74.2939960902386,136.215940560939,12.9838938125158,0,112.003680013657,101.564736837757,86.7055903086693,56.7535429934796,92.3080602472401,31.0655783520579,22.3574915706113,93.7671621767868,72.2907306394,15.2881301775051,0,40.7483469655972,61.2993322135926,38.7164435470604,65.0135972283833,178.810881488761,68.0596381803889,160.582780981385,98.1518689459799,50.235753982075,100.619814137961,158.102721916704,140.251282114042,163.9853723363,0,26.8342722957586,156.986010031197,115.036528260088,62.2118143144326,82.1306065906938,9.08603786252661,72.3870461669831,0,20.7626404571074,138.171006935926,55.8198084079786
4.22,71.5624114621223,43.3757223018692,79.9151672907901,0,44.1582166491753,0,0,128.281110429587,0,96.2960905849832,110.029814861809,58.6066649121058,95.5973363475314,169.74587460514,95.0684710931655,122.414952298173,62.5435532379579,129.479219435241,0,105.226816919125,67.6494281471623,111.734625460858,8.64309253502688,159.830172796632,87.3440735163567,90.1654018963582,129.354330816732,258.39178738263,153.027002959156,71.435914646685,237.423577357024,0,46.201484419078,16.9098541658004,38.7543389247421,99.6006768354746,32.3173620079424,93.8264439285449,58.3433239900587,133.01763079838,8.25293592710659,61.6803122993751,69.7553832999547,52.7944490950031,0,114.234945871377,129.734487891817,65.5584015090308,135.398742741211,64.7430688641743,40.0083940019367,32.9448430695975,78.7086407283596,68.8180121787145,100.247166079709,38.6369306115703,13.8829370091025,55.8570713152903,129.973210063997,114.509706969844,45.8882575133248,40.1353798520759,96.3311874197771,122.034088362782,0,16.0631791878614,179.30601360113,121.01464256599,50.9583941655574,124.039612595197,29.8675435813921,93.2199133293789,131.690091097231,171.39277486457,156.656530288507,80.3108904466953,112.606970546469,224.472032244174,147.651104505027,48.1975270866114,0,0,67.5112058286777,0,61.2768444283911,137.800894752254,73.9541516973823
4.24,172.011042565975,128.057795206891,3.77331493862766,0,63.8974139209859,9.9905460532882,86.0555746916179,85.5291231166102,82.5231216488864,130.340552784181,10.5572365060852,0,45.2768693897469,53.1469482056273,98.9644908390419,123.856950858682,162.072794431835,136.450073091086,0,52.390664283037,82.0626023290788,50.6124404490765,4.87705310865567,171.024798609689,123.741624064269,102.099787550886,109.689041609074,174.348673688239,232.351758427443,12.9314363463982,291.554434575703,0,100.058712952576,0,6.7000583956069,52.0361439127737,35.0093977133329,92.1832543952723,77.1416281869824,97.4032688570878,16.4984417315027,139.738938366535,131.992597282842,10.2826087388084,0,119.049221198102,173.3269550146,75.0508817939372,58.1951512071146,70.2864199405485,126.829604663872,0,105.989879480249,62.1380321900315,161.270421461857,0,22.0684229087892,72.6764305724046,67.5663927265377,109.222636409732,121.990991866689,123.864747588344,112.552623796912,76.0390191402457,55.6040408792851,30.0131296870177,178.572655807438,166.9511260857,0,150.662180921414,0,98.9306621423602,106.158122475659,188.039281578147,148.090918331732,186.229913653437,187.346256309636,246.140885076333,112.191283445938,64.7863090772244,0,26.9509044660317,119.958907737211,19.5345934723337,99.4286179514256,99.5836284390361,64.7656605249585
4.26,240.627531802635,157.160226921491,47.5394198136946,20.2753943869684,125.565859644301,21.0036648729583,80.929043465112,93.8719807850339,188.329304030713,171.215625963756,0,0,95.6574857948217,12.8257570257647,55.0711644120474,174.411816991545,212.243605593529,108.482409490165,53.0747110127195,117.190225434999,79.1760629828696,46.6858653403397,63.1312604945088,194.535145220401,116.487557136812,167.844871867441,129.336834956019,98.3784165653997,224.572315241008,31.8167088672635,234.985166337222,66.1292948036516,126.643212751895,71.7154732066829,0,127.094426822765,13.1126002584851,37.3973874216626,146.426416074955,80.1155181097565,50.2323670400347,150.812297433054,128.401469204226,62.1082202929474,114.549585713512,82.9623220397243,185.494378952615,70.3184552049561,0,73.8406921279911,134.5029414899,3.82497821127981,125.404058744376,48.0611166018525,160.742907347954,0,90.583558360483,37.6475894551259,45.6265189591068,45.104645466422,105.95388515424,144.081123242093,133.852570411387,58.4278324779189,103.237035851491,104.585561297193,175.817221269231,118.766119439792,54.5902178589067,135.70104811649,0,129.342283454229,92.9026315687843,160.818147791137,162.283053380323,166.98909929503,186.663090317499,214.267961377516,39.1874270221124,74.4349309971312,110.611322985911,96.4217157260682,121.811764802886,82.9363639091061,71.9968387242188,39.2191053848437,26.8796124163728
4.28,219.451931192818,101.042618377198,183.481860542426,66.9562233694887,134.532128566789,0,0,159.343269441992,207.252710530742,165.089910526323,8.08583575696139,36.3001150440032,176.861379865766,69.6408088974986,33.0292762849931,224.949254854577,165.211956590414,70.5768537809654,70.4576785544923,143.85333434729,25.3721566650202,71.1382667954022,140.021201444913,226.98336787108,60.7747353687391,216.895549793149,161.374631678396,71.0021591895711,135.324577404208,21.1278153430758,135.412494830263,121.515079825959,99.85570213357,76.6424475024178,0,203.301576518596,25.35649014716,30.3319981496506,98.3121971650562,60.3208758041892,96.9629084941371,98.5011508451516,95.3667628674193,169.193311217186,136.440499546836,91.7546365926137,139.202635437485,54.9673264297235,0,97.6620243830102,122.891286906558,47.6486326678023,101.990797642551,50.0934981073224,112.297926849449,51.5014327736717,141.493200995994,0,91.1676371427848,0,29.5911180676894,114.831781647737,178.430443615045,106.820321558032,63.0331159056987,190.031555187533,133.050999183405,68.3191693627587,88.9121829622509,139.284158926687,27.2629289253564,169.371766925446,132.61947698642,123.39177248752,139.386706108904,74.1799646931395,124.725315074478,189.960528239721,0,74.7753931979714,163.758490125656,90.3242853776519,49.0154949879543,122.107361134069,0,12.5838885734274,38.5982589834011
4.3,164.214957356215,53.4199247659435,217.860728512356,118.617600398438,124.917118486528,0,54.3261632580252,157.103297195683,147.923456088371,64.4552801038972,113.200867620959,58.3107262887061,95.278977760403,73.3130054597877,54.218193904544,156.040135778512,106.300861892879,57.646775741523,61.8163605424306,94.9439289645379,23.325064961231,61.0516302102114,169.105241215178,187.264231662006,37.6400576865672,164.37490477228,168.634141082543,79.6759630139786,96.6830450202779,0,57.8296064456072,70.4938585867494,87.6046516850165,30.6980206111057,25.8662942876908,200.644820712674,68.0337366262756,71.9138935495175,0,49.1762950392877,138.819049336162,82.8398720732866,126.706119683085,145.49040279294,70.9997831052606,136.93807627618,60.1182293158981,65.9020448653446,56.1575262125298,122.774720123525,147.717697691829,61.1809932882497,46.9719048190573,60.9305492822868,45.6630493830453,99.0188652813922,132.567598832944,34.6217018251082,110.863369892544,0,64.139682534641,81.0398830122031,219.525166014078,143.698648718355,66.9028397782513,209.605653274934,102.87456334726,74.0708378575528,55.5567720265726,180.416982179806,58.5582990409912,204.964977676215,198.719069020244,110.581527037818,86.6147075442595,59.4237533408013,78.8764630888654,258.789304975282,0,96.9447366166351,95.2098411418483,38.7139126198181,0,100.391042004047,0,38.6901165929612,55.5444881261665
4.32,179.004686464936,83.018083787083,172.406319132948,148.595834965965,143.293311395775,71.4042139162702,151.06981245982,93.8506708391942,47.5745416229802,44.3956766162664,176.81617027957,0.499931524354906,0,44.092826787024,65.3979067160144,81.7794800941811,87.069766849273,89.6989497337436,96.3581331187706,68.3976459738969,130.304417664021,0,128.709152691932,108.161519256706,79.3119779377557,106.207409311038,178.1344494028,91.7945455946974,98.7687585435688,24.9843278473436,29.8339800328204,9.31223173747549,87.3659831377981,128.839040157009,35.5752409200668,126.655562172629,74.2008351362729,67.0901604666751,15.4934757502051,79.2682809895305,133.088917960653,59.7349167514758,155.338808981427,76.2932599107853,119.632641380549,125.642242068666,15.2537142530709,80.0024990452466,105.192687239245,103.043626132865,217.516304743338,92.6962344112417,30.0801046201823,47.0018191727868,0,80.4778123629549,79.5213453618899,92.9472836414807,91.8568602377372,17.0685198361289,139.091899023207,92.3137102819819,206.575348949881,161.209003925153,76.1879927921145,184.475677501448,191.141278415625,128.85252244976,54.8141642335577,222.861215688306,94.9154723626052,224.922455243055,210.50516261281,139.94192615359,74.2007908956066,92.4798031200771,68.5973029741235,283.748537788043,81.2215097047811,115.944030360684,21.2610145246636,11.1302813009024,0,50.7737112949671,44.4959310586746,92.9280858964221,32.0368369338112
4.34,295.160764873835,198.839600622958,131.228136659038,135.707512191819,129.566307723999,164.335163575157,80.4765847646195,46.9692059283225,0,199.598734315588,131.680006825511,0,60.714386310101,49.7125950466816,39.0938281915733,113.316644382412,113.453714544833,140.321541416248,189.472465631583,46.5484107524589,152.068383082747,0,72.8027359569678,61.4832134499975,157.333665955336,133.31344854675,215.431068675132,95.0906918719902,92.2772680809576,89.876110593641,0.147391104929739,34.6141470444354,74.5306320126856,219.267834417118,73.8253535542008,48.7653062946647,76.6225861852236,45.5650821743311,98.2687691941373,79.8304893576551,75.9951321541957,0,111.572510616599,77.6849650790246,199.688904303205,109.739632049699,5.10036903631953,73.5368475624591,95.1217262214095,37.9860156008008,229.331941786545,118.772461271927,77.9581275945293,34.722132387541,0,39.4843539653339,34.7373394696397,85.5636017796669,62.8990561941782,50.9986403923522,133.424442410553,136.54360252942,132.725212481078,171.929348132842,26.0194012830252,160.182409323477,252.859749209351,157.92510908614,96.9705477286434,221.05527187141,93.6579932722443,204.729331323365,195.366236734113,164.042666746549,91.2893119840801,101.734618406103,90.5539622248943,166.82761452537,143.632767290585,99.8022166503706,0,24.9926157789032,35.6269806054479,20.1126625920824,81.6147163746991,89.487166480958,55.2888932910737
4.36,319.452711043392,290.286757217871,95.7100703235519,133.683390518298,97.1023176541112,174.649570351339,8.36802133326273,118.569077041739,0,202.805667517589,67.0219876708798,20.7672814837588,165.636192747974,87.6113571385722,81.7503550937545,120.190945662644,120.948775685149,166.318804331147,174.384640652997,0,58.4372218498829,48.3680303889832,103.626976008027,92.9856355990923,147.982273542169,143.470487153443,235.39583012207,144.042010466383,81.7958233329791,102.924818195357,0,80.2352124378667,48.7441451041732,127.724470650466,179.800006545403,25.2682937567915,106.036520346948,68.0037574854659,77.9396533956406,5.5139793698163,80.6217494508383,47.295602927803,88.808226440322,57.6550025936122,186.403861591346,151.101694255167,7.15439500788489,84.6685236911217,87.3179887011866,57.3670242479275,131.967547008117,113.178233686202,56.4156947803394,65.345833722421,40.5041201982422,30.081818059969,38.0426197713005,59.5568070349973,63.2564571642988,75.1820439876456,61.6071739485815,179.741277605693,116.569105884448,160.445951198247,0,137.877328938589,150.623620742302,122.404961359844,154.279003249922,172.713263629327,43.2237149771217,151.573742298811,206.028017247695,151.61450002628,108.647726012269,104.710079444565,145.101286203853,138.953342256786,136.899846183228,55.5517728541909,8.29599363266789,62.7367937594045,82.3778945446957,13.2165006077794,68.2056816385857,26.6225299335656,116.307869052594
4.38,216.208876018789,299.534763082629,87.2231366162396,174.544942201761,140.786043227896,127.264336343107,15.2463814519015,235.277685632136,88.8680577492305,49.051878999986,55.4155680306849,145.460991353759,218.143848110769,121.185590655372,180.635582583247,82.0638489602825,93.8346116516859,126.6439665445,52.6032428879516,0,20.0586540574259,142.066244721293,153.556057104761,161.736388143981,82.5718834668614,103.966199273484,226.794683348789,209.955397587191,90.9370375122435,131.179332857027,12.0447111485346,105.483756023898,39.3091407341199,12.4058003516529,211.207937472123,38.1322629012193,82.3076709008774,134.706769446284,42.1710045633863,0,132.311856232935,180.595255649027,113.323519493466,13.7696036130083,163.988267816496,181.454941864707,11.5589590770796,103.682764097507,120.228309243077,141.335488831842,111.935239179345,121.21277799969,0,151.175345462843,86.5522535401706,38.7312890174189,64.966182737322,60.8767605566936,86.9652796796554,103.552061938149,0,198.933180053664,167.594396709146,149.600905326242,0,125.417221342472,43.8578603607048,139.314550266741,204.181004843701,186.159054586323,55.1933820283948,160.699688913636,240.245899348852,178.505298014075,138.062411090671,105.421116716048,184.296897309248,255.439403827152,87.94692774133,4.53524753705642,44.4722304685165,84.4199992237154,80.8616790356791,34.4800351481299,119.49050952499,0,94.7937951864405
